Material,Function,Project,BFE,SI,FRI,SE,CBD,AE,AR,NAS,CPS,PD,9COH,9UYS,9MPS,9FF,9AIF,6COH,6UYS,6MPS,6FF,6AIF,WFA
Kollidon 12 PF (Povidone)_3,Binder,N/A,761,0.99,1.35,5.15,0.522,2.33,323,0.487,7.53,5.28,0.33,1.04,13,12.4,25.4,0.263,0.828,8.69,10.5,25.1,9.62
Kollidon 30 (Povidone),Binder,N/A,498,0.89,1.24,3.84,0.452,1.97,296,0.411,5.51,2.36,0.175,0.536,12.3,22.9,23.7,0.0975,0.299,8.11,27.1,23.7,6.62
VIVAPHARM¢ç PVP K25 (Povidone),Binder,N/A,596,0.817,1.22,4.41,0.446,3.78,196,0.33,5.36,1.72,0.205,0.642,12.5,19.5,25,0.186,0.58,8.37,14.4,24.7,5.72
VIVAPHARM¢ç PVP K30 (Povidone),Binder,N/A,586,0.791,1.21,4.7,0.403,9.08,87.1,0.211,5.45,0.806,0.163,0.533,13.1,24.5,27,0.151,0.489,8.64,17.7,26.6,6.38
Methocel E6 (Methocel E6 PREMIUM LV HPMC),Binder,N/A,2156,1.09,1.39,12.2,0.379,265,13.6,0.301,15.4,1.3,0.511,2.7,27.6,10.2,48.6,0.292,1.52,17.7,11.6,48.1,7.81
Methocel E15 (Methocel E15 PREMIUM LV HPMC)_1,Binder,N/A,2480,1.24,1.42,12.2,0.383,368,10.8,0.29,15.2,1.31,0.548,2.76,26.3,9.53,46.7,0.381,1.94,17.7,9.14,47.1,7.04
Methocel E15 (Methocel E15 PREMIUM LV HPMC)_2,Binder,N/A,2308,0.834,1.68,11.5,0.322,300,6.31,0.276,18.9,1.08,1.28,6.43,33.1,5.15,46.7,0.293,1.62,20.6,12.7,50.3,8.27
Methocel K15M (Methocel E15 PREMIUM CR HPMC),Binder,N/A,2244,0.958,1.52,11.9,0.299,306,7.35,0.296,18.7,1.26,0.418,2.08,30.5,14.7,46.1,0.0612,0.316,18.9,59.7,47.7,9.93
Methocel K100M (Methocel K100M PREMIUM HPMC),Binder,N/A,2002,0.967,1.71,10.9,0.302,247,6.69,0.292,20.2,1.34,0.394,1.95,26.9,13.8,46,0.264,1.33,17.9,13.5,46.6,11
HPMC K4M (Hypromellose 2208),Binder,N/A,1495,0.858,1.67,9.83,0.312,140,10.9,0.362,18.2,1.56,0.301,1.55,28.6,18.4,47.5,0.182,0.914,20.9,22.8,46.5,9.21
HPMC E5LV (Hypromellose 2910),Binder,N/A,2108,1.23,1.53,11.5,0.396,213,7.69,0.273,14.4,1.3,0.595,2.93,25.6,8.74,45.9,0.512,2.52,16.9,6.71,45.7,7.41
Benecel K4M PHARM CR,Binder,N/A,1576,0.915,1.48,8.55,0.321,162,10.1,0.226,17.1,0.874,0.347,1.67,23.9,14.4,44.7,0.32,1.56,16.3,10.5,45.3,7.83
Benecel K100M PHARM XR,Binder,N/A,1837,0.968,1.42,9.33,0.262,374,5.28,0.22,23.3,1.22,0.573,2.73,22.8,8.35,44.4,0.236,1.2,16.5,13.8,46.9,9.54
Benecel K100M PH DC,Binder,N/A,3373,0.987,1.36,10.6,0.336,349,5.81,0.29,11,1.49,0.133,0.641,25.7,40.2,44.8,0.0842,0.389,15.7,40.3,43.2,9.01
Klucel EXP PHARMA,Binder,N/A,447,0.945,2.53,9.71,0.24,58.6,7.66,0.333,27.9,3.96,4.32,17.6,21.4,1.21,37.8,2.55,10.5,14,1.33,38.3,16.4
Hydroxypropylcellulose (L FINE),Binder,N/A,1126,0.964,2.4,9.61,0.375,107,10.4,0.374,13.2,2,2.22,8.08,16.6,2.05,32.3,1.25,4.64,11.1,2.39,33.5,10.9
CMC Sodium_CMC 7L2P,Binder,N/A,2042,1.04,1.28,7.87,0.57,25.3,79.4,0.446,7.08,3.27,0.163,0.688,18.9,27.4,39.2,0.0425,0.181,12.4,68.6,39.7,4.66
CMC Sodium_CMC 7MF PH BET,Binder,N/A,2381,1.1,1.2,6.5,0.67,8.13,271,0.33,5.12,1.98,0.067,0.272,17.1,62.9,37.5,0.0512,0.205,11.1,54.1,37,4.38
EXPLOSOL,Disintegrant,N/A,990,1.01,1.29,4.42,0.862,16,87.9,0.482,6.49,12.2,0.295,0.875,12.8,14.6,22.1,0.219,0.65,8.35,12.8,22.2,7.38
Kollidon CL (Crospovidone)_1,Disintegrant,N/A,887,0.879,1.22,6.22,0.367,2.42,704,0.445,7.73,2.2,0.0613,0.21,13.9,66,29.5,0.0736,0.255,9.35,36.7,29.9,6.13
Kollidon CL (Crospovidone)_2,Disintegrant,N/A,875,0.843,1.21,6.34,0.372,1.49,739,0.468,8.59,2.55,0.148,0.502,14,27.8,29.1,0.0895,0.327,9.64,29.5,32.5,6.02
Kollidon CL (Crospovidone)_3,Disintegrant,N/A,740,0.836,1.26,6.21,0.332,1.82,480,0.442,9.7,2.21,0.115,0.387,13.9,35.9,28.7,0.115,0.409,9.64,23.6,31.3,7.12
Ac-Di-Sol SD-711_1,Disintegrant,N/A,1841,1.03,1.53,9.75,0.537,35.8,84.1,0.422,7.64,3.84,0.457,2.14,22.8,10.6,43.8,0.21,1.06,16.3,15.5,46.5,11.5
Ac-Di-Sol SD-711_2,Disintegrant,N/A,2002,0.999,1.67,9.38,0.504,130,12.8,0.405,10.9,3.89,0.272,1.35,24.7,18.4,46,0.291,1.4,16.5,11.8,44.8,6.33
Vivasol_1,Disintegrant,N/A,1761,1.01,1.57,10.3,0.547,69.1,46.5,0.461,7.69,3.76,0.485,2.18,22,10.1,42.1,0.307,1.38,14,10.1,42.1,6.89
Vivasol_2,Disintegrant,N/A,1697,1.05,1.56,9.37,0.581,28.7,107,0.427,7.04,4.34,0.227,0.962,18.5,19.2,39.5,0.254,1.08,12.7,11.7,39.6,6.77
